# domega dtau
-1.995958151916891743e-01 -1.031389827371231027e-01
-4.096573877384100670e-02 -1.216867554976796550e-01
-3.079433736811486577e-01 -1.428314608028851962e-01
-5.746413681554884967e-02 -4.215025654005566391e-01
-6.907945847394672545e-02 2.891709642379683420e-02
-5.381929145887156402e-02 5.481637704180669646e-01
-3.766574793625565576e-02 -1.460597251894888426e-01
-1.209243248789963338e-01 1.792063765359112187e-02
-1.880201675279962181e-01 -2.820259253591697601e-01
-1.587502700885119189e-01 -4.379500701888845438e-01
-8.415429602258278630e-02 -1.489017493467722775e-01
3.341873184651973638e-02 -4.212555249090710885e-01
-5.984568349065391701e-02 -1.758005399725006690e-01
-1.860529746783551874e-01 -3.998393688453154016e-01
-3.452511953620058388e-02 -2.994985947965225770e-01
1.469255233342724454e-01 -3.704980896016153991e-01
-4.378926219505385742e-01 -4.972363818241620215e-01
-3.570832075121455410e-03 -5.252164560421894723e-01
-1.638011667058777987e-03 -3.469453734328835637e-01
-1.758612364700575803e-01 -3.771039286375570398e-01
-1.180560976089968864e-02 1.899142280744508804e-01
6.935452384914098795e-03 -2.832622577398957731e-01
-2.278731585282833469e-02 1.420944510909057656e-01
1.232696108439374980e-02 -2.732646260665631543e-01
-1.395712224306614735e-01 -2.858358217614107022e-01
-1.317317142344802683e-01 -5.517411902410793156e-02
-7.275660962930563525e-02 -2.348054688653438138e-01
-1.358104932339261606e-01 -1.277691540391977520e-01
-4.093850277660990300e-02 -3.188009847243523653e-01
-1.749267957212480018e-01 -8.788169036107662535e-02
-3.950513547928630881e-02 2.715526558950833724e-01
-6.852719751669987536e-02 8.487329267291603141e-02
-2.234919410135156881e-02 -3.957860633475274170e-01
1.907180816357652992e-02 6.841508279654892610e-02
-4.003274354900987486e-02 1.991042627948138577e-01
-5.007452387096343605e-02 1.306687439675720541e-01
-2.416833002910861831e-05 2.977002879788878120e-01
-4.501936872671471329e-02 2.144659375653978906e-02
-4.068129163649927132e-02 -2.327717797652127940e-01
-6.506390557388742890e-02 3.355086162786128506e-02
-1.130604775153861916e-02 2.339384248020532908e-01
-3.524680313339774440e-02 2.053346000632164381e-01
-3.659990621024497570e-02 2.338494707518452842e-01
-2.441201166330699279e-01 -2.606411059569795907e-01
-1.600665579986272347e-01 -7.382712528040662886e-03
-4.382063384058831890e-02 -2.902791957461661188e-01
-4.304715572878730634e-01 -3.779070238782770152e-01
-8.078812199826240770e-02 -3.287027658624293025e-01
-2.416652569938091411e-01 1.713060747044591881e-01
-1.179479766600363133e-01 -3.605720326190052782e-01
2.199068693956474085e-02 4.446921479148157053e-01
1.911637588577878855e-02 2.561111058314391453e-02
2.883697306452855796e-02 -2.049964881262358041e-01
2.970368808638034278e-02 7.027284027618367901e-01
4.675407560792743666e-02 -1.581416191189014553e-01
3.623890045199640308e-02 1.620554344609489439e-01
-6.031392710940090829e-02 -2.245351150311181154e-01
-4.388849172107740781e-02 -2.016473144531325534e-01
7.508977093722246643e-02 7.263074954157850392e-04
-5.993709490754497993e-02 -1.986863055429240466e-01
1.502340550058539614e-02 2.882212715605225739e-01
4.542878856482347044e-02 -2.499435662403020064e-01
5.534277740622346731e-02 -3.087257396208734073e-01
-8.592952681724390362e-02 2.797212628383980437e-01
1.041518748616804962e-02 -4.355231066875021595e-01
-8.107600834612276042e-02 -3.903262682234650005e-01
1.399784541017872266e-03 -3.896559886780111004e-01
