# omega_modGR tau_modGR
1.667372427904026608e+03 5.256884896272044291e-03
1.437160013698462535e+03 3.011164094783274747e-03
1.748780792930463804e+03 4.859489689267956769e-03
1.654444393989854689e+03 3.255724681477307082e-03
1.839511204793021534e+03 2.790442337324545649e-03
9.429973105672012252e+02 4.269712643788752503e-03
1.578600518302802129e+03 3.182556499825673051e-03
1.443490060467456715e+03 1.286579734196505610e-03
1.575516836975581555e+03 2.628903346775494747e-03
1.580649440626131536e+03 6.345843971073422511e-03
1.503910658118296624e+03 5.138332569019752119e-03
1.711938748066366315e+03 3.534579079780031038e-03
1.484116415418007591e+03 2.641013883095010527e-03
1.550737524249972921e+03 2.149069030616329763e-03
1.896941181399008428e+03 1.645491871682502015e-03
1.289187600386394024e+03 1.704399350791028708e-03
1.420121783159085680e+03 2.572206055001800048e-03
1.292764874378980039e+03 2.292403594035933440e-03
1.521455479211003876e+03 3.662404609266173717e-03
1.536688438099439509e+03 6.572561815915659023e-03
1.507831302506799830e+03 4.751795865757419378e-03
1.637672847308441533e+03 2.055914961980329862e-03
1.522745229594171633e+03 4.507891010586547245e-03
1.572046400056301081e+03 4.658328314210356293e-03
1.490126739076532203e+03 4.124812388124319412e-03
1.501874427335297923e+03 3.289675859137622307e-03
1.120287236589568920e+03 3.183291600863564618e-03
1.745361638924572389e+03 4.075105311474282004e-03
1.480040717904048279e+03 2.958844179872458045e-03
1.543340465862558631e+03 3.926661112610165677e-03
1.536469952882807320e+03 4.129866741363398888e-03
1.434074332577050654e+03 3.819930304548277682e-03
1.460632467358685062e+03 2.068317683774053943e-03
1.638136258041389283e+03 3.634286702598676748e-03
1.676360500126240822e+03 3.702375784564618504e-03
1.599264043966497638e+03 3.576243834583650669e-03
1.534953276811729893e+03 2.900229870710589828e-03
1.610892049028541805e+03 3.622855283458372138e-03
1.617094841602372981e+03 3.810822142019382533e-03
1.551286301491946915e+03 3.583945164504988030e-03
1.529325040850900450e+03 2.986170151563974275e-03
1.520838203008293476e+03 3.638017931049110972e-03
1.536747603199197329e+03 4.498051365617509664e-03
1.564019433118198094e+03 5.686605967457568009e-03
1.695994747498000834e+03 2.508110749685279594e-03
1.987000609410941024e+03 2.747258300206072493e-03
1.593523658523021140e+03 4.739588557276646144e-03
1.444737421607853548e+03 6.473793496121710810e-03
1.175515372466000372e+03 3.184928703021336089e-03
1.470585054689835488e+03 3.426107958787125499e-03
1.486898926753645128e+03 2.403706172208640388e-03
1.754922995967436918e+03 3.569006789528156396e-03
1.693616837959622671e+03 4.164559348214593414e-03
1.696498032816031127e+03 2.160832681897479138e-03
1.570846867527968698e+03 2.676356685881481779e-03
1.701325310138836130e+03 1.994404113316199708e-03
1.590026067086614148e+03 5.225371793872654602e-03
1.685013665847742004e+03 3.407327530927292507e-03
1.572357089694226488e+03 5.649761279314778444e-03
1.115820431313545441e+03 1.767819273755466764e-03
1.623234759506879982e+03 2.618415892902562023e-03
1.562731468184970936e+03 2.347042728106523129e-03
1.595668675371629206e+03 5.304653445895552571e-03
1.571919834815001423e+03 2.937203714539365386e-03
1.586328808263201608e+03 3.163334862671964530e-03
7.598980910631463530e+02 1.700522710254670933e-03
1.429870518590255415e+03 2.315006502425702700e-03
1.712677707911363541e+03 2.361438312612873947e-03
1.509237988979129113e+03 4.174546740127681697e-03
1.505596982233786093e+03 1.840575498267882576e-03
1.704346307496558666e+03 3.546147154849597048e-03
1.663797543839515811e+03 4.808451191049437599e-03
1.694564291603419633e+03 2.583396226425312050e-03
1.878359352186257183e+03 1.948547403376698706e-03
1.885744817262301240e+03 2.506288993105991719e-03
1.552941434584566196e+03 1.169937911591045288e-03
1.731896621381177511e+03 4.864731618089783091e-03
1.514700244761309023e+03 3.226229874362542167e-03
1.752316878061629495e+03 3.896750304761911927e-03
1.709370441917315020e+03 4.507543361860838309e-03
1.360687469197482415e+03 2.587060521466766870e-03
1.636797951983202438e+03 2.312567258194416983e-03
1.215381678046199340e+03 2.303848649996350414e-03
1.595214302826179846e+03 2.837772422551112714e-03
1.592504493228515912e+03 4.525208290375249201e-03
1.679510558309817043e+03 3.194580581821127984e-03
1.675141004725786615e+03 3.181636811556287289e-03
1.724555321772811794e+03 3.623466692158031945e-03
1.729739894594606085e+03 2.861832425767403022e-03
1.550118011291861649e+03 3.974718085674590166e-03
1.768461094215081630e+03 4.067220067253408435e-03
1.615128102900958766e+03 3.940178813932525455e-03
9.553869443605674405e+02 2.604581952768337226e-03
1.670171399802080032e+03 2.692406097140744720e-03
1.291200030796259171e+03 2.134429006999939010e-03
1.609084368539935895e+03 2.895709370809596787e-03
1.432306439902561351e+03 2.216595593566923934e-03
1.045034134316947302e+03 2.673874965861220560e-03
1.496395762517849334e+03 4.160540289380256634e-03
9.577223840048872034e+02 3.199596130786317404e-03
1.711133373870628020e+03 2.750110252995178247e-03
1.641912160974997278e+03 4.432870014466840265e-03
1.677041625401337342e+03 3.929824934939399501e-03
1.399220990294417561e+03 2.600856645432470405e-03
1.592862917850864733e+03 5.187046742636857236e-03
1.525775622038118399e+03 4.929870705532067056e-03
1.641194127774514527e+03 2.483580965240836033e-03
1.428440596332773339e+03 3.481564065393415869e-03
1.428531498360079922e+03 1.774997697368727381e-03
2.026278328573127055e+03 2.084033324234712756e-03
1.377952655412616878e+03 2.288880485181119754e-03
1.410776921031094389e+03 2.641287884363380679e-03
1.542869454960901294e+03 5.215773525254174293e-03
