# mf_modGR af_modGR
7.578668038782333838e+01 8.923881926764472006e-01
7.371437978110087386e+01 8.769467018520502588e-01
7.634409131113083902e+01 8.549365973107377892e-01
6.842687527187781882e+01 7.047313444572228525e-01
7.370092541492357441e+01 8.202189011920634210e-01
7.598293187290087758e+01 8.247263889996752084e-01
6.854108036147258076e+01 7.028398061053300339e-01
6.540955435371785143e+01 6.309940144095613768e-01
9.258663598175316167e+01 9.335374288977750235e-01
7.556269453737803588e+01 8.039809030266392709e-01
7.237245159215730439e+01 7.433337053458561883e-01
4.107875649124510886e+01 -6.903148046496967449e-01
6.514631259916548345e+01 6.453510411062621799e-01
5.009058904455440597e+01 1.547622373202617307e-02
6.093458807040465075e+01 4.768027263120531156e-01
4.804230784980170199e+01 4.368958597357008866e-02
5.534909505320533185e+01 5.363428213322274374e-02
2.949596088599489363e+01 -2.227274422237262463e+00
7.625626453236390034e+01 8.413975484061742005e-01
7.170341822572169121e+01 7.810662114779683973e-01
3.853535930483873528e+01 -1.065804012299512937e+00
1.844272925923108275e+01 -3.591194381832673699e+00
6.861793441396143578e+01 7.665394741361899467e-01
8.179397883418536708e+01 8.641875185698859596e-01
6.932959612119046255e+01 7.360611287454975615e-01
5.772160250415689831e+01 3.359711364762552055e-01
7.529697082776549166e+01 7.069510343919108708e-01
4.745490389872076520e+01 -6.374512235640348301e-01
7.467598552395908484e+01 8.440222936986128133e-01
7.381952242972539580e+01 7.027368297327543090e-01
6.985105302914627146e+01 6.607797096453418284e-01
7.619112185995466291e+01 8.236638738956783001e-01
6.821595740374620220e+01 6.897730090453710883e-01
6.771049078238254992e+01 7.707831775197024893e-01
7.271013145177414572e+01 7.252919969230640085e-01
-6.383148568147286284e+01 -4.375150346962732328e+01
7.461357097200314570e+01 7.981031529554946102e-01
7.383793960855845739e+01 7.883236775250561656e-01
5.199905063196224120e+01 2.914087119757878819e-01
6.111629107065549960e+01 6.412903687124160701e-01
8.024171095490072503e+01 8.881226811741854688e-01
3.608134747683192245e+01 -1.130457052292120235e+00
1.936463435424628443e+01 -3.759280762080610572e+00
5.730801101095717343e+01 1.348499965299674308e-01
6.150625231233063062e+01 7.317558980311986705e-01
6.770341393599755975e+01 6.864451542580434218e-01
5.556385394951324486e+01 6.443429646547593759e-01
6.462959063366081125e+01 5.555117959215523094e-01
3.503651547314739645e+01 -9.304603045389661098e-01
5.928602462752736812e+01 5.089661268977411224e-01
5.737369449672893751e+01 3.949124612055742167e-01
5.215425588213888375e+01 -2.531874632829533844e-02
4.986879005857343827e+01 -2.204631791238753635e-02
5.529738732114527977e+01 -6.367520376375923608e-01
5.928068349153582517e+01 6.149329530481593142e-01
6.229630658629243811e+01 5.801056090448294400e-01
8.180885296758216896e+01 8.689591626955357473e-01
1.788645934053168318e+01 -2.801684768585462670e+00
5.688206419476676956e+01 2.286999106813843996e-01
4.364737827096658407e+01 -5.171218384021314396e-01
6.115296952045152068e+01 4.885179176536589285e-01
5.458667326400877329e+01 3.806568185763371526e-01
6.932758000311127944e+01 6.786057159873228883e-01
