# omega_modGR tau_modGR
1.467577119171357026e+03 4.718213696469463446e-03
1.426740949299876092e+03 4.821672680810510335e-03
1.424707338654903879e+03 3.189030371277722358e-03
1.416602833721416800e+03 3.289006637975350634e-03
3.219017223129214926e+03 1.327714555255691056e-03
1.640369769544760175e+03 7.660638054572196584e-03
1.656460655886916356e+03 9.071998399128970714e-03
1.512601728102409197e+03 4.247431715326654977e-03
1.657326087560040833e+03 6.884618976949422736e-03
1.525242193881376352e+03 4.476915148899270232e-03
2.278921294203008074e+03 1.892143344304170237e-03
1.848553725851276340e+03 1.664182315874109148e-03
1.526002092479704061e+03 5.677552339308087476e-03
1.589472501723561891e+03 5.778242994864677892e-03
4.003201773511892043e+03 1.904974704364970246e-03
4.216169367980352035e+03 2.627592253022807776e-03
1.538817283718994304e+03 5.770119221666172166e-03
1.498390412800499234e+03 5.016623618883673044e-03
1.676560593531406084e+03 4.614805500571365210e-03
2.370288769297015278e+03 1.497811881207418601e-03
1.557456195531146477e+03 3.039023722366110576e-03
4.103616879295853323e+03 7.459878998724678995e-03
1.716575670211212355e+03 3.572420725227412174e-03
1.754125182864682984e+03 2.435195247911273782e-03
3.189752749996747752e+03 2.315934860132417075e-03
2.059784403395003665e+03 2.198137452907757920e-03
2.526246273843341442e+03 2.170180895975159369e-03
2.100139224798133910e+03 1.695905610595386257e-03
1.865641716080021979e+03 3.602391285023051528e-03
1.894728914813520532e+03 2.346945110282462003e-03
1.806467618285947765e+03 2.614341314252078847e-03
1.875128449286307159e+03 2.456361336678107056e-03
1.960878680692389935e+03 3.237980646646674687e-03
1.554091480090564801e+03 6.705799741076006251e-03
1.796643520475614196e+03 3.580507313701534067e-03
2.071793203220486248e+03 2.999955634903594872e-03
1.765282186033817197e+03 3.056868407653744006e-03
1.666101787742126135e+03 2.729991459631013126e-03
1.666299753153688698e+03 3.489199329985724629e-03
2.604448119324970776e+03 1.743292337450276508e-03
1.555523535572458513e+03 3.787967884886041768e-03
2.562822115819232749e+03 2.052561242083633577e-03
1.639188168996279046e+03 6.788029312678063240e-03
