# azimuth cos_altitude psi t0 logA0 f0 tau0 phi0 logL logPrior
3.116260886668879238e+00 4.461971725991689119e-01 1.481013010989352674e+00 1.938109576463627887e-02 -2.125238934423539661e+01 5.883568901355191372e+01 1.715194715533061021e-02 4.868719668053373972e+00 7.905741762213420589e+05 0.000000000000000000e+00
3.369594255506118241e+00 3.166258689125975856e-01 1.728615071454552510e+00 1.910047829053817744e-02 -2.130997349198982604e+01 5.905343222858283525e+01 1.575560463176025813e-02 5.592367288089766575e+00 7.905741843658697326e+05 0.000000000000000000e+00
2.154974382052355697e+00 9.374848249135352418e-01 5.532814907061676113e-01 2.598729676155055526e-02 -2.083736784889993743e+01 6.601539647204138817e+01 1.912347639421991749e-02 2.780285147211014163e+00 7.905742182996096089e+05 0.000000000000000000e+00
3.069828801892061865e+00 3.891233005945933798e-01 9.977242277300982787e-01 1.940634742537565918e-02 -2.117631722408559014e+01 6.262487932247827160e+01 1.694268514689589375e-02 3.880880990891233395e+00 7.905742701593353413e+05 0.000000000000000000e+00
2.497106150845901151e+00 9.163837569684403217e-01 2.735005103493022283e-01 2.519828808748429336e-02 -2.106146021909872346e+01 6.187803608561038260e+01 1.544997981583482068e-02 2.244276891127337858e+00 7.905742773112589493e+05 0.000000000000000000e+00
2.780288048671622825e+00 8.977196890926085748e-01 1.656652343544987360e+00 1.896931528808907044e-02 -2.108828438299766361e+01 6.457773573909460652e+01 1.859520395916601510e-02 2.086289724635800535e+00 7.905742991081932560e+05 0.000000000000000000e+00
3.403195077844172189e+00 1.829087424798270523e-01 1.953144682228644013e+00 1.864892699672076118e-02 -2.116445398268444933e+01 6.597571079287868656e+01 1.339122420958553834e-02 6.260441289382461250e+00 7.905742997411463875e+05 0.000000000000000000e+00
3.302621548497185255e+00 3.720505009937850049e-01 4.093928657118407477e-01 1.923578850008231950e-02 -2.118828613180802023e+01 6.145697499487981474e+01 1.328730083441792900e-02 2.861237806761936397e+00 7.905743079077468719e+05 0.000000000000000000e+00
2.589670940140259781e+00 9.383914631996882472e-01 1.320421220951385255e+00 2.556068623099926745e-02 -2.077373157032487683e+01 6.377728904899040430e+01 1.273695110271950461e-02 4.359448622465174061e+00 7.905743161793259205e+05 0.000000000000000000e+00
3.371077255063059663e+00 7.614190809701011364e-01 1.177242537593772953e+00 2.397821160960088988e-02 -2.112238882275235596e+01 6.174584383449841596e+01 1.371580851475119080e-02 4.346411706421966059e+00 7.905743182090900373e+05 0.000000000000000000e+00
4.694417770914081522e+00 3.190290930523664303e-01 2.637366387212962682e+00 1.931223534807216188e-02 -2.059711615254555639e+01 5.848723758267313855e+01 1.958841806958705814e-02 1.006631594928180773e+00 7.905743377300628927e+05 0.000000000000000000e+00
3.110653323378552049e+00 8.180105930820769089e-01 4.144452171207383406e-01 2.348298680919227305e-02 -2.110969490554325745e+01 5.713235681651779174e+01 1.981629692210526428e-02 2.616189675075690779e+00 7.905743505784065928e+05 0.000000000000000000e+00
1.992772051987393267e+00 9.532016070053470624e-01 4.588138421006791590e-01 1.918563745519532779e-02 -2.062586983398492890e+01 6.593319846982764432e+01 1.061166725659355194e-02 5.706844599428338327e+00 7.905743527466924861e+05 0.000000000000000000e+00
2.896462343215970403e+00 7.820735985613129770e-01 9.191944426407095969e-01 2.381130366434001597e-02 -2.098665942802345441e+01 5.893193172515724854e+01 1.394650532273349758e-02 3.513001684853705342e+00 7.905744221548215719e+05 0.000000000000000000e+00
2.619929421980915052e+00 8.665615944298276085e-01 6.707457430791687880e-01 2.370731391879219579e-02 -2.096682795383319586e+01 5.751975657388260998e+01 1.992319052148650710e-02 2.874645796032551104e+00 7.905744312023099046e+05 0.000000000000000000e+00
2.033082397500049154e+00 9.444119458290749503e-01 5.734648179029946391e-01 2.586031370700441270e-02 -2.089966366007840293e+01 6.119851978643680468e+01 1.727437987664934976e-02 2.780853528063970792e+00 7.905744457434092183e+05 0.000000000000000000e+00
3.007719342137487040e+00 4.655644116101828600e-01 2.326562325439937684e+00 2.098673706532167699e-02 -2.126310765506189426e+01 6.394941309247099070e+01 1.740430037981386541e-02 2.060575676231825859e-01 7.905744678957974538e+05 0.000000000000000000e+00
2.431150027265853719e+00 9.307440393479371465e-01 2.375083947353915370e+00 2.549810249879147159e-02 -2.096714440885812891e+01 6.354678180045439007e+01 1.443693508294247550e-02 2.070060634308308889e-01 7.905745116922794841e+05 0.000000000000000000e+00
3.071922278825129027e+00 3.678368144356230496e-01 4.002645562707652371e-01 1.959365299757243398e-02 -2.115603346088031955e+01 6.385993963536498796e+01 1.591801169967788782e-02 2.604529601650869441e+00 7.905745418655737303e+05 0.000000000000000000e+00
2.050145483210317643e+00 9.602311109772027065e-01 2.740051365923456217e+00 2.550455091697641577e-02 -2.081498097952678705e+01 6.567190789587341726e+01 1.951073126286593379e-02 9.249319885694539112e-01 7.905745526284225052e+05 0.000000000000000000e+00
3.210395110494785875e+00 8.299184846784537495e-01 1.400013175224969153e+00 2.458344115139620562e-02 -2.109576678374288861e+01 6.271221319936469030e+01 1.480063855230976527e-02 4.678492587376566370e+00 7.905745539590292610e+05 0.000000000000000000e+00
2.541164147674257467e+00 8.872602984509559976e-01 2.533186291480137076e+00 2.479716668032485791e-02 -2.106223840696947036e+01 5.833277483894704574e+01 1.736699664678658869e-02 3.316847056308844244e-01 7.905746198900423478e+05 0.000000000000000000e+00
